camera_id;watch_id;sex;catch;year_of_birth;fished_before;day;year;participant_id
27;27;N;951;1956;n;3;2023;87
25;25;N;0;1956;y;5;2023;87
30;30;N;357;1962;y;1;2023;88
43;43;N;669;1962;n;2;2023;88
55;55;N;1122;1962;y;3;2023;88
7;7;N;898;1962;n;4;2023;88
39;39;M;4523;1969;y;2;2023;89
47;47;M;4205;1969;y;3;2023;89
31;31;M;2431;1969;y;4;2023;89
28;28;M;531;1969;y;5;2023;89
19;19;M;336;1950;y;4;2023;90
